year,Team,G,Points per game,Pct points from 3s,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,Denver Nuggets,66,104.12121212121212,18.99010477299185,16040,2572,5404,0.476,435,1311,0.332,1293,1760,0.735,738,2105,2843,1581,540,330,1015,1297,6872
2012,San Antonio Spurs,66,103.65151515151516,24.20698728256103,15940,2611,5463,0.478,552,1405,0.393,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841
2012,Oklahoma City Thunder,66,103.06060606060606,20.81740664510438,15990,2462,5229,0.471,472,1317,0.358,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802
2012,Utah Jazz,66,99.65151515151516,12.452485935837007,16165,2523,5531,0.456,273,845,0.323,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577
2012,Milwaukee Bucks,66,99.01515151515152,20.01530221882173,15865,2502,5652,0.443,436,1265,0.345,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535
2012,Sacramento Kings,66,98.75757575757575,18.916845658177355,15915,2490,5712,0.436,411,1301,0.316,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518
2012,Miami Heat,66,98.48484848484848,17.076923076923077,16040,2446,5212,0.469,370,1030,0.359,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500
2012,Phoenix Suns,66,98.36363636363636,20.51756007393715,15840,2495,5445,0.458,444,1295,0.343,1058,1397,0.757,717,2035,2752,1486,431,366,928,1233,6492
2012,Houston Rockets,66,98.0909090909091,22.150139017608897,16065,2489,5543,0.449,478,1330,0.359,1018,1301,0.782,770,2014,2784,1404,496,319,955,1347,6474
2012,Minnesota Timberwolves,66,97.93939393939394,21.95235148514851,15940,2355,5434,0.433,473,1423,0.332,1281,1662,0.771,797,2089,2886,1290,436,293,1001,1212,6464
2012,New York Knicks,66,97.84848484848484,24.016723443790646,15940,2365,5335,0.443,517,1538,0.336,1211,1634,0.741,743,2012,2755,1328,622,276,1056,1391,6458
2012,Golden State Warriors,66,97.77272727272727,24.360762436076243,15915,2489,5443,0.457,524,1351,0.388,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453
2012,Indiana Pacers,66,97.71212121212122,18.235385331059078,15990,2354,5375,0.438,392,1064,0.368,1349,1724,0.782,826,2070,2896,1228,523,357,925,1430,6449
2012,Los Angeles Clippers,66,97.54545454545455,23.951537744641193,15965,2439,5366,0.455,514,1441,0.357,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438
2012,Los Angeles Lakers,66,97.3030303030303,16.91061974462784,16065,2429,5319,0.457,362,1112,0.326,1202,1589,0.756,799,2251,3050,1485,390,351,997,1109,6422
2012,Portland Trail Blazers,66,97.1969696969697,22.353858144972722,15965,2402,5417,0.443,478,1382,0.346,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415
2012,Atlanta Hawks,66,96.5909090909091,23.152941176470588,16165,2429,5348,0.454,492,1330,0.37,1025,1385,0.74,652,2066,2718,1481,536,303,921,1178,6375
2012,Chicago Bulls,66,96.34848484848484,19.767259002987892,15940,2467,5462,0.452,419,1117,0.375,1006,1394,0.722,915,2165,3080,1527,456,388,923,1139,6359
2012,Dallas Mavericks,66,95.78787878787878,23.58430876304967,16065,2398,5412,0.443,497,1464,0.339,1029,1334,0.771,665,2158,2823,1380,565,337,926,1226,6322
2012,Memphis Grizzlies,66,94.98484848484848,13.255702663901738,15940,2425,5422,0.447,277,849,0.326,1142,1504,0.759,831,1944,2775,1290,631,345,955,1316,6269
2012,Orlando Magic,66,94.16666666666667,32.34111021721641,15965,2275,5162,0.441,670,1785,0.375,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215
2012,Washington Wizards,66,93.63636363636364,16.699029126213592,15865,2414,5475,0.441,344,1075,0.32,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180
2012,Philadelphia 76ers,66,93.63636363636364,16.941747572815537,15915,2471,5516,0.448,349,963,0.362,889,1198,0.742,704,2144,2848,1453,526,340,738,1157,6180
