DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M448,University Neighborhood High School ,60,394,419,387
01M450,East Side Community High School ,69,418,431,402
01M515,Lower East Side Preparatory High School ,154,314,532,314
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
02M288,FOOD AND FNANCE HIGH SCHOOL ,50,422,412,407
02M294,HIGH SCHOOL FOR HIST AND COMM ,51,382,364,366
02M298,PACE HIGH SCHOOL ,71,424,448,423
02M303,The Facing History School ,59,381,373,377
02M316,Urban Assembly School of Business for Young Women ,52,401,409,391
02M400,HIGH SCHOOL ENVRNMNTL STUDIES ,216,465,480,448
02M408,Professional Performng Arts School ,69,495,465,499
02M411,Baruch College Campus High School ,96,523,583,528
02M412,New York City Laboratory School Collab Studies ,108,561,597,567
02M413,SCHOOL OF THE FUTURE ,79,475,488,466
02M414,NEW YORK CITY MUSEUM SCHOOL ,90,454,448,435
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122,555,596,567
02M418,Millennium High School ,140,512,554,523
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250,446,458,440
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,74,419,429,406
02M439,MANHATTAN VILLAGE ACADEMY ,90,465,479,472
02M440,Bayard Rustin High School Humanities ,136,387,394,379
02M449,VANGUARD HIGH SCHOOL ,54,367,395,373
02M460,WASHINGTON IRVING HIGH SCHOOL ,163,381,385,368
02M475,STUYVESANT HIGH SCHOOL ,804,674,735,678
02M489,HS of Economics And Finance ,147,451,503,453
02M519,TALENT UNLIMITED HIGH SCHOOL ,124,465,454,461
02M520,MURRY BERGTRAUM HIGH SCHOOL ,287,411,439,396
02M529,Jacqueline Kennedy Onassis High School ,88,420,424,398
02M543,NEW DESIGN HIGH SCHOOL ,74,390,385,387
02M551,New York Harbor High School ,54,372,369,368
02M560,City as School ,57,468,441,434
02M575,Manhattan Comprehensive Night Day High School ,141,355,475,339
02M580,Richard R Green High School of Teaching ,79,425,429,419
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301,419,420,413
02M615,Chelsea Career and Technical Education High School ,61,393,412,376
02M620,NORMAN THOMAS HIGH SCHOOL ,152,378,387,370
02M625,HS of Graphic Commnctn And Art ,125,370,378,360
02M630,HIGH SCHOOL OF ART AND DESIGN ,212,427,423,418
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71,399,389,383
03M299,"High School For Arts, Imagination And Inquiry ",57,364,378,357
03M307,Urban Assembly School For Media Studies ,53,374,363,377
03M415,WADLEIGH SECONDARY SCHOOL ,68,376,373,371
03M470,LOUIS D BRANDEIS HIGH SCHOOL ,170,357,357,345
