Country Name,Year,"Life exp. at birth (yrs)","GDP/capita, PPP (2005 $)"
Afghanistan,2002.0,45.83314634,568.5519461
Afghanistan,2003.0,46.09243902,631.7827124
Afghanistan,2004.0,46.35119512,672.0791954
Afghanistan,2005.0,46.61641463,748.1128133
Afghanistan,2006.0,46.89909756,808.9020726
Afghanistan,2007.0,47.20531707,874.1979929
Afghanistan,2008.0,47.53856098,879.0326756
Afghanistan,2009.0,47.89885366,1029.215154
Afghanistan,2010.0,48.28219512,1082.949267
Angola,2002.0,46.71192683,2734.74834
Angola,2003.0,47.39336585,2728.21281
Angola,2004.0,48.00370732,2931.128681
Angola,2005.0,48.53843902,3354.650958
Angola,2006.0,49.00714634,3926.104097
Angola,2007.0,49.43529268,4671.694081
Angola,2008.0,49.84741463,5166.084593
Angola,2009.0,50.25102439,5143.279103
Angola,2010.0,50.65365854,5171.713948
Angola,2011.0,51.05931707,5201.308694
Albania,2002.0,75.16121951,5253.756466
Albania,2003.0,75.54202439,5522.970763
Albania,2004.0,75.85912195,5814.835828
Albania,2005.0,76.112,6101.576853
Albania,2006.0,76.30963415,6376.603379
Albania,2007.0,76.47341463,6725.003521
Albania,2008.0,76.6207561,7216.119498
Albania,2009.0,76.76109756,7427.807916
Albania,2010.0,76.90095122,7660.043814
Albania,2011.0,77.04226829,7861.131481
United Arab Emirates,2002.0,75.05221951,66872.7126
United Arab Emirates,2003.0,75.26087805,69628.71188
United Arab Emirates,2004.0,75.46397561,70928.1459
United Arab Emirates,2005.0,75.66046341,66854.72186
United Arab Emirates,2006.0,75.85180488,64126.73133
United Arab Emirates,2007.0,76.03843902,57092.02724
United Arab Emirates,2008.0,76.22134146,51361.42159
United Arab Emirates,2009.0,76.39956098,45202.30398
United Arab Emirates,2010.0,76.57360976,42352.95998
United Arab Emirates,2011.0,76.74253659,42293.05452
Argentina,2002.0,74.13860976,8589.246354
Argentina,2003.0,74.34429268,9263.679689
Argentina,2004.0,74.54558537,10010.70849
Argentina,2005.0,74.74146341,10833.40561
Argentina,2006.0,74.93143902,11647.3845
Argentina,2007.0,75.11497561,12544.62012
Argentina,2008.0,75.29253659,13275.68445
Argentina,2009.0,75.46409756,13272.2035
Argentina,2010.0,75.63214634,14362.61581
Argentina,2011.0,75.79765854,15501.42072
Armenia,2002.0,71.88960976,2860.291798
Armenia,2003.0,72.27839024,3262.446256
Armenia,2004.0,72.61641463,3601.532202
Armenia,2005.0,72.90070732,4096.440119
Armenia,2006.0,73.13421951,4631.212472
Armenia,2007.0,73.32782927,5260.535273
Armenia,2008.0,73.49595122,5614.552099
Armenia,2009.0,73.64553659,4810.88772
Armenia,2010.0,73.78356098,4900.474333
Armenia,2011.0,73.91602439,5112.397885
Antigua and Barbuda,2002.0,75.2804878,16507.26021
Australia,2002.0,79.93658537,30661.56113
Australia,2003.0,80.23902439,31276.5457
Australia,2004.0,80.4902439,32200.84116
Australia,2005.0,80.84146341,32719.02501
Australia,2006.0,81.04146341,33233.32568
Australia,2007.0,81.29268293,33805.98448
Australia,2008.0,81.39512195,34405.90488
Australia,2009.0,81.54390244,34183.62126
Australia,2010.0,81.69512195,34409.47442
Austria,2002.0,78.67804878,32307.13267
Austria,2003.0,78.63170732,32428.53081
Austria,2004.0,79.1804878,33062.53159
Austria,2005.0,79.33170732,33626.38683
Austria,2006.0,79.83170732,34688.34224
Austria,2007.0,79.98292683,35834.55607
Austria,2008.0,80.23414634,36177.36111
Austria,2009.0,80.08292683,34681.08772
Austria,2010.0,80.38292683,35380.23766
Azerbaijan,2002.0,67.55485366,2980.840663
Azerbaijan,2003.0,67.99431707,3289.675898
Azerbaijan,2004.0,68.45719512,3593.625159
Azerbaijan,2005.0,68.92273171,4496.143936
Azerbaijan,2006.0,69.36141463,5981.242209
Azerbaijan,2007.0,69.74865854,7395.156017
Azerbaijan,2008.0,70.06785366,8023.568247
Azerbaijan,2009.0,70.31763415,8589.563915
Azerbaijan,2010.0,70.5065122,8912.370497
Burundi,2002.0,46.67307317,506.6395472
Burundi,2003.0,47.02156098,487.0707471
Burundi,2004.0,47.38036585,496.0511859
Burundi,2005.0,47.75146341,485.8903454
Burundi,2006.0,48.13887805,496.7807644
Burundi,2007.0,48.54663415,504.7916432
Burundi,2008.0,48.9757561,514.5459807
Burundi,2009.0,49.42126829,517.5713706
Burundi,2010.0,49.87721951,523.5815877
Burundi,2011.0,50.33709756,533.2931232
Belgium,2002.0,78.57560976,30815.599
Belgium,2003.0,78.72926829,30934.38116
Belgium,2004.0,78.87804878,31807.18698
Belgium,2005.0,79.32764146,32189.35133
Belgium,2006.0,79.77723659,32846.93669
Belgium,2007.0,79.53414634,33558.65196
