station_name,count_average,count_week_2010-06-04,count_week_2010-06-11,count_week_2010-06-18,count_week_2010-06-25,count_week_2010-07-02,count_week_2010-07-09,count_week_2010-07-16,count_week_2010-07-23,count_week_2010-07-30,count_week_2010-08-06,count_week_2010-08-13,count_week_2010-08-20,count_week_2010-08-27,count_week_2010-09-03,count_week_2010-09-10,count_week_2010-09-17,count_week_2010-09-24,count_week_2010-10-01,count_week_2010-10-08,count_week_2010-10-15,count_week_2010-10-22,count_week_2010-10-29,count_week_2010-11-05,count_week_2010-11-12,count_week_2010-11-19,count_week_2010-11-26,count_week_2010-12-03,count_week_2010-12-10,count_week_2010-12-17,count_week_2010-12-24,count_week_2010-12-31,count_week_2011-01-07,count_week_2011-01-14,count_week_2011-01-21,count_week_2011-01-28,count_week_2011-02-04,count_week_2011-02-11,count_week_2011-02-18,count_week_2011-02-25,count_week_2011-03-04,count_week_2011-03-11,count_week_2011-03-18,count_week_2011-03-25,count_week_2011-04-01,count_week_2011-04-08,count_week_2011-04-15,count_week_2011-04-22,count_week_2011-04-29,count_week_2011-05-06,count_week_2011-05-20,count_week_2011-05-27,count_week_2011-06-03,count_week_2011-06-10,count_week_2011-06-17,count_week_2011-06-24,count_week_2011-07-01,count_week_2011-07-08,count_week_2011-07-15,count_week_2011-07-22,count_week_2011-07-29,count_week_2011-08-05,count_week_2011-08-12,count_week_2011-08-19,count_week_2011-08-26,count_week_2011-09-02,count_week_2011-09-09,count_week_2011-09-16,count_week_2011-09-23,count_week_2011-09-30,count_week_2011-10-07,count_week_2011-10-14,count_week_2011-10-21,count_week_2011-10-28,count_week_2011-11-04,count_week_2011-11-11,count_week_2011-11-18,count_week_2011-11-25,count_week_2011-12-02,count_week_2011-12-09,count_week_2011-12-16,count_week_2011-12-23,count_week_2011-12-30,count_week_2012-01-06,count_week_2012-01-13,count_week_2012-01-20,count_week_2012-01-27,count_week_2012-02-03,count_week_2012-02-10,count_week_2012-02-17,count_week_2012-02-24,count_week_2012-03-02,count_week_2012-03-09,count_week_2012-03-16,count_week_2012-03-23,count_week_2012-03-30,count_week_2012-04-06,count_week_2012-04-13,count_week_2012-04-20,count_week_2012-04-27,count_week_2012-05-04,count_week_2012-05-11,count_week_2012-05-18,count_week_2012-05-25,count_week_2012-06-01,count_week_2012-06-08,count_week_2012-06-15,count_week_2012-06-22,count_week_2012-06-29,count_week_2012-07-06,count_week_2012-07-13,count_week_2012-07-20,count_week_2012-07-27,count_week_2012-08-03,count_week_2012-08-10,count_week_2012-08-17,count_week_2012-08-24,count_week_2012-08-31,count_week_2012-09-07,count_week_2012-09-14,count_week_2012-09-21,count_week_2012-09-28
103RD ST-CENTRAL PARK WEST,27126.049586776859,27395,28789,28775,28731,29490,27307,29475,29378,29018,29045,28589,28039,27631,27849,25986,28969,30890,30942,28677,28464,29009,28589,29297,29168,28647,25447,26958,28585,27642,25118,21145,25972,26100,24826,24118,25500,26089,26623,23798,25693,26267,27874,26878,26136,26744,27313,26021,26378,26720,26152,26176,23705,26303,25736,25336,26328,23987,26811,25956,26048,26549,26478,25640,25623,20624,24867,28602,26045,21640,28038,27512,28887,29088,27951,28562,28222,24655,27498,28558,28743,27622,21278,25990,27595,25816,26524,27038,27659,27709,24807,27143,28549,28424,28776,21476,28930,26939,29994,29058,29627,29774,26141,30088,26656,29666,28786,28735,29011,26089,27965,27452,27503,27334,27547,27026,26981,26807,25460,28363,27296,28204
103RD ST-ROOSEVELT AVE,104377.37190082645,98495,102538,101708,100795,101089,97548,102176,101866,99763,98025,100264,95839,96582,102266,97294,100636,101932,94660,100005,97409,100016,99442,97751,98113,99453,91036,98477,96345,97618,97435,85847,93239,95802,95745,95339,102021,102227,104099,99044,102617,101634,104377,104033,101429,101273,104742,101601,100237,105687,103364,105561,96754,101781,103882,105492,106830,100444,107205,106327,105067,106113,106072,103213,105799,85594,101909,114091,113583,85399,115287,111058,115067,115951,112744,113899,115741,103993,114177,114847,116280,115120,97620,98270,109285,105463,106831,113088,114042,112538,106597,112680,114216,114831,116022,85018,112367,109651,114643,114504,110814,115805,98846,113089,109752,112649,103515,103100,109029,102478,109523,107495,109540,108245,107074,108691,109039,110140,104896,109031,103505,109527
103RD STREET-BROADWAY,77629.495867768594,73241,79563,79785,73386,65785,58498,60093,58619,57240,72147,73635,72178,72880,74530,72075,80004,61777,60106,78611,76689,80079,79798,79965,79420,74937,69151,76244,82714,82071,76495,65363,75637,76237,74492,75589,80067,79758,78404,76191,79650,81451,63005,80914,80616,81292,81994,77725,77528,79279,78625,77622,70901,76504,77357,76879,77096,69413,77595,75896,72862,74940,74302,71950,72086,57372,73673,84330,87237,64394,85838,82164,87090,87900,87849,86687,86835,75763,82942,88773,90296,87047,66878,79988,83314,78273,81811,84592,85470,85133,77449,85133,81426,77866,85444,65152,85031,79462,84779,87175,86772,88600,76587,88019,78785,87706,80611,81931,82051,74228,80249,79818,80391,78669,78061,76043,75703,76168,75535,82476,80835,82429
103RD STREET-LEXINGTON AVE,86280.826446280989,78954,86635,88993,82249,83073,75816,79972,80427,82114,81447,80312,79317,79450,80744,77609,86513,88294,84768,87232,84622,88615,88504,86505,87761,87245,74922,84539,87805,86571,80394,65082,81097,81759,76805,78673,85858,86451,87390,77174,87376,87547,88500,87720,88239,88618,89680,81699,84840,90076,86832,88368,80076,88361,90881,87102,87286,77769,87034,84769,83557,83710,82989,80574,80187,66201,78773,95450,96519,72441,97547,92015,98681,97230,94309,101008,90192,81426,95097,97849,96951,93514,69870,84390,91992,85395,88327,94105,91901,94183,80122,94284,96132,95277,97066,73599,93324,84391,96619,95589,97572,97121,85359,96168,87804,96228,90882,88923,89202,78977,87093,86312,86967,82257,81069,81964,79847,82726,81144,89734,86536,88845
104TH STREET,13779.793388429753,12449,13644,13719,11460,14094,10295,11504,11519,11449,13546,13645,13309,13110,13604,12669,14347,14295,13736,14225,13773,14186,14213,13946,13952,14170,12102,13897,13817,13585,12784,11872,13081,13220,12854,13356,14660,14277,14613,13211,14376,14324,14521,13860,11744,11797,11646,12757,13397,11608,13702,14149,12863,14120,14195,14045,14365,12839,14081,14264,13942,14320,14203,13135,13364,11370,13407,16097,15977,12026,16056,15408,15888,16022,15328,15460,16119,13580,15636,15831,15843,15422,12079,13593,15089,14278,14402,15532,15676,15182,13522,15311,15794,15677,15709,12284,15048,13875,13264,15356,15514,15803,12516,12877,14040,12846,13886,13927,13935,12703,13789,13842,13444,11464,13765,13569,13671,14043,13583,12118,11412,11662
104TH STREET-LIBERTY AVENUE,9322.4132231404965,8312,9218,9217,9116,9129,8120,8848,8940,9066,8961,8696,8782,8637,9051,8141,9372,9433,9129,9420,8997,9561,9530,9255,9431,9580,7884,9435,9582,9381,8593,6815,8588,8626,8495,8565,9495,9599,9706,8773,9616,9475,9650,9491,9548,9536,9666,8879,9180,9757,9494,9689,8852,9713,9754,9582,9651,8401,9418,9265,9464,9385,9082,8917,9047,7830,8884,10675,10593,8008,9870,9878,10529,10321,10323,10129,10532,8249,10359,10466,10513,10248,7572,8659,9725,8957,9387,9936,10203,9997,9023,10007,10051,10154,10268,7774,9560,9057,9930,10198,10146,10068,9392,10043,9114,10157,9416,9308,9450,8283,9447,9142,9331,9202,9183,9037,8895,9204,8835,9721,9391,9391
109TH STREET-LIBERTY AVENUE,13421.619834710744,11929,13432,13409,13285,13259,11858,12795,13039,13004,12817,12819,12557,12442,13349,11676,13674,13947,13614,14006,13198,13773,14304,13667,13760,13764,11112,13422,13527,13243,12052,9461,12171,11911,11680,11631,13352,13266,13741,12102,13654,13558,13644,13516,13611,14091,14189,12878,13389,14018,13536,13680,12142,13457,13469,13496,13438,12173,13645,13353,13178,13097,12975,12839,13121,11315,12825,15322,14987,11617,13855,14393,14779,14942,14733,14848,15136,11975,14968,14842,14815,14438,10811,11978,13775,12493,13663,14484,14926,14379,12806,14650,14875,14504,14823,11291,14018,13384,14926,14658,14675,14591,13263,14627,12643,14458,14168,13835,13709,11813,13682,13607,13611,13571,13323,13302,13184,13940,13058,14695,13804,14028
110TH STREET-8TH AVENUE,39443.776859504134,36631,38159,39064,39540,40121,37043,39972,41716,41030,40289,39411,38888,37849,39029,38025,41468,43445,43273,40628,40142,40529,40912,41069,40962,40625,35210,37542,39397,38569,35469,28225,36355,36000,35121,35440,37882,38460,39591,34733,38609,39030,42355,39009,39200,40023,40260,37891,38763,40057,40199,39265,35777,39033,38953,38416,37935,35316,38125,38507,39031,38859,38328,36606,37491,29844,36860,42542,38625,31812,42463,40846,42486,42935,41447,42116,41736,36244,40742,42693,42844,40756,31142,37368,39329,38057,39301,41207,41213,41290,36469,41101,42798,42616,42743,31821,41826,39407,43747,42249,43224,42899,38258,45344,41280,44035,42475,42473,42120,38463,40894,40220,40989,40255,39589,39730,39796,40374,38488,42703,41668,41893
110TH STREET-BROADWAY,79795.074380165286,75645,80939,81827,73667,65787,59528,61039,59487,58366,71894,71980,70208,70488,76188,76039,83915,65185,61736,82255,80256,83216,84137,83044,82344,79348,72425,78112,84258,83471,77308,60391,73607,75209,76656,77737,83348,82607,81932,75222,81949,83073,62804,79791,82913,84278,82926,78391,79386,83487,89023,82509,76453,81940,83383,81864,82046,73628,81678,78802,75654,76872,74270,71094,72297,60021,79050,88799,91617,67088,90500,87273,93541,92682,91524,90972,91164,79461,85784,90852,91875,87374,62268,77750,81081,81557,87030,89239,89060,87697,80885,88093,86488,80259,86223,66867,87530,80969,88131,88854,88817,90545,83918,89648,79117,88185,81974,82057,82127,75602,80061,80394,82506,79523,76558,73518,73516,77936,79832,87441,85141,85918
110TH STREET-LEXINGTON AVE,66671.066115702473,60665,65370,72257,62262,63364,58962,59135,62108,62077,63290,62381,61416,60705,63268,60682,67863,68134,66468,67728,64420,67492,66921,66681,67698,67100,58262,65439,66789,66153,63434,51340,62382,62757,60810,60913,66587,67336,67741,57788,67347,66148,67396,66439,66337,67767,68415,60905,64081,68300,66278,67887,62290,67533,75785,66641,66000,60456,67202,64507,63827,63550,63790,60961,61835,50838,62963,74040,74823,55510,75128,70647,75291,75324,73762,73914,75402,64558,73943,75787,76225,73741,56302,67186,71642,67069,69876,73818,73301,73667,62212,73522,74833,74450,75404,56709,72867,66003,75680,75028,75340,76386,65718,74806,68818,74458,74139,68572,68058,61763,66395,65279,65631,61022,59853,62078,59584,63368,62251,69064,67056,68240
