station_name,date,count
103RD ST-CENTRAL PARK WEST,2010-06-04,27395
103RD ST-CENTRAL PARK WEST,2010-06-11,28789
103RD ST-CENTRAL PARK WEST,2010-06-18,28775
103RD ST-CENTRAL PARK WEST,2010-06-25,28731
103RD ST-CENTRAL PARK WEST,2010-07-02,29490
103RD ST-CENTRAL PARK WEST,2010-07-09,27307
103RD ST-CENTRAL PARK WEST,2010-07-16,29475
103RD ST-CENTRAL PARK WEST,2010-07-23,29378
103RD ST-CENTRAL PARK WEST,2010-07-30,29018
103RD ST-CENTRAL PARK WEST,2010-08-06,29045
103RD ST-CENTRAL PARK WEST,2010-08-13,28589
103RD ST-CENTRAL PARK WEST,2010-08-20,28039
103RD ST-CENTRAL PARK WEST,2010-08-27,27631
103RD ST-CENTRAL PARK WEST,2010-09-03,27849
103RD ST-CENTRAL PARK WEST,2010-09-10,25986
103RD ST-CENTRAL PARK WEST,2010-09-17,28969
103RD ST-CENTRAL PARK WEST,2010-09-24,30890
103RD ST-CENTRAL PARK WEST,2010-10-01,30942
103RD ST-CENTRAL PARK WEST,2010-10-08,28677
103RD ST-CENTRAL PARK WEST,2010-10-15,28464
103RD ST-CENTRAL PARK WEST,2010-10-22,29009
103RD ST-CENTRAL PARK WEST,2010-10-29,28589
103RD ST-CENTRAL PARK WEST,2010-11-05,29297
103RD ST-CENTRAL PARK WEST,2010-11-12,29168
103RD ST-CENTRAL PARK WEST,2010-11-19,28647
103RD ST-CENTRAL PARK WEST,2010-11-26,25447
103RD ST-CENTRAL PARK WEST,2010-12-03,26958
103RD ST-CENTRAL PARK WEST,2010-12-10,28585
103RD ST-CENTRAL PARK WEST,2010-12-17,27642
103RD ST-CENTRAL PARK WEST,2010-12-24,25118
103RD ST-CENTRAL PARK WEST,2010-12-31,21145
103RD ST-CENTRAL PARK WEST,2011-01-07,25972
103RD ST-CENTRAL PARK WEST,2011-01-14,26100
103RD ST-CENTRAL PARK WEST,2011-01-21,24826
103RD ST-CENTRAL PARK WEST,2011-01-28,24118
103RD ST-CENTRAL PARK WEST,2011-02-04,25500
103RD ST-CENTRAL PARK WEST,2011-02-11,26089
103RD ST-CENTRAL PARK WEST,2011-02-18,26623
103RD ST-CENTRAL PARK WEST,2011-02-25,23798
103RD ST-CENTRAL PARK WEST,2011-03-04,25693
103RD ST-CENTRAL PARK WEST,2011-03-11,26267
103RD ST-CENTRAL PARK WEST,2011-03-18,27874
103RD ST-CENTRAL PARK WEST,2011-03-25,26878
103RD ST-CENTRAL PARK WEST,2011-04-01,26136
103RD ST-CENTRAL PARK WEST,2011-04-08,26744
103RD ST-CENTRAL PARK WEST,2011-04-15,27313
103RD ST-CENTRAL PARK WEST,2011-04-22,26021
103RD ST-CENTRAL PARK WEST,2011-04-29,26378
103RD ST-CENTRAL PARK WEST,2011-05-06,26720
103RD ST-CENTRAL PARK WEST,2011-05-20,26152
103RD ST-CENTRAL PARK WEST,2011-05-27,26176
103RD ST-CENTRAL PARK WEST,2011-06-03,23705
103RD ST-CENTRAL PARK WEST,2011-06-10,26303
103RD ST-CENTRAL PARK WEST,2011-06-17,25736
103RD ST-CENTRAL PARK WEST,2011-06-24,25336
103RD ST-CENTRAL PARK WEST,2011-07-01,26328
103RD ST-CENTRAL PARK WEST,2011-07-08,23987
103RD ST-CENTRAL PARK WEST,2011-07-15,26811
103RD ST-CENTRAL PARK WEST,2011-07-22,25956
103RD ST-CENTRAL PARK WEST,2011-07-29,26048
103RD ST-CENTRAL PARK WEST,2011-08-05,26549
103RD ST-CENTRAL PARK WEST,2011-08-12,26478
103RD ST-CENTRAL PARK WEST,2011-08-19,25640
103RD ST-CENTRAL PARK WEST,2011-08-26,25623
103RD ST-CENTRAL PARK WEST,2011-09-02,20624
103RD ST-CENTRAL PARK WEST,2011-09-09,24867
103RD ST-CENTRAL PARK WEST,2011-09-16,28602
103RD ST-CENTRAL PARK WEST,2011-09-23,26045
103RD ST-CENTRAL PARK WEST,2011-09-30,21640
103RD ST-CENTRAL PARK WEST,2011-10-07,28038
103RD ST-CENTRAL PARK WEST,2011-10-14,27512
103RD ST-CENTRAL PARK WEST,2011-10-21,28887
103RD ST-CENTRAL PARK WEST,2011-10-28,29088
103RD ST-CENTRAL PARK WEST,2011-11-04,27951
103RD ST-CENTRAL PARK WEST,2011-11-11,28562
103RD ST-CENTRAL PARK WEST,2011-11-18,28222
103RD ST-CENTRAL PARK WEST,2011-11-25,24655
103RD ST-CENTRAL PARK WEST,2011-12-02,27498
103RD ST-CENTRAL PARK WEST,2011-12-09,28558
103RD ST-CENTRAL PARK WEST,2011-12-16,28743
103RD ST-CENTRAL PARK WEST,2011-12-23,27622
103RD ST-CENTRAL PARK WEST,2011-12-30,21278
103RD ST-CENTRAL PARK WEST,2012-01-06,25990
103RD ST-CENTRAL PARK WEST,2012-01-13,27595
103RD ST-CENTRAL PARK WEST,2012-01-20,25816
103RD ST-CENTRAL PARK WEST,2012-01-27,26524
103RD ST-CENTRAL PARK WEST,2012-02-03,27038
103RD ST-CENTRAL PARK WEST,2012-02-10,27659
103RD ST-CENTRAL PARK WEST,2012-02-17,27709
103RD ST-CENTRAL PARK WEST,2012-02-24,24807
103RD ST-CENTRAL PARK WEST,2012-03-02,27143
103RD ST-CENTRAL PARK WEST,2012-03-09,28549
103RD ST-CENTRAL PARK WEST,2012-03-16,28424
103RD ST-CENTRAL PARK WEST,2012-03-23,28776
103RD ST-CENTRAL PARK WEST,2012-03-30,21476
103RD ST-CENTRAL PARK WEST,2012-04-06,28930
103RD ST-CENTRAL PARK WEST,2012-04-13,26939
103RD ST-CENTRAL PARK WEST,2012-04-20,29994
103RD ST-CENTRAL PARK WEST,2012-04-27,29058
103RD ST-CENTRAL PARK WEST,2012-05-04,29627
103RD ST-CENTRAL PARK WEST,2012-05-11,29774
103RD ST-CENTRAL PARK WEST,2012-05-18,26141
103RD ST-CENTRAL PARK WEST,2012-05-25,30088
103RD ST-CENTRAL PARK WEST,2012-06-01,26656
103RD ST-CENTRAL PARK WEST,2012-06-08,29666
103RD ST-CENTRAL PARK WEST,2012-06-15,28786
103RD ST-CENTRAL PARK WEST,2012-06-22,28735
103RD ST-CENTRAL PARK WEST,2012-06-29,29011
103RD ST-CENTRAL PARK WEST,2012-07-06,26089
103RD ST-CENTRAL PARK WEST,2012-07-13,27965
103RD ST-CENTRAL PARK WEST,2012-07-20,27452
103RD ST-CENTRAL PARK WEST,2012-07-27,27503
103RD ST-CENTRAL PARK WEST,2012-08-03,27334
103RD ST-CENTRAL PARK WEST,2012-08-10,27547
103RD ST-CENTRAL PARK WEST,2012-08-17,27026
103RD ST-CENTRAL PARK WEST,2012-08-24,26981
103RD ST-CENTRAL PARK WEST,2012-08-31,26807
103RD ST-CENTRAL PARK WEST,2012-09-07,25460
103RD ST-CENTRAL PARK WEST,2012-09-14,28363
103RD ST-CENTRAL PARK WEST,2012-09-21,27296
103RD ST-CENTRAL PARK WEST,2012-09-28,28204
103RD ST-ROOSEVELT AVE,2010-06-04,98495
103RD ST-ROOSEVELT AVE,2010-06-11,102538
103RD ST-ROOSEVELT AVE,2010-06-18,101708
103RD ST-ROOSEVELT AVE,2010-06-25,100795
103RD ST-ROOSEVELT AVE,2010-07-02,101089
103RD ST-ROOSEVELT AVE,2010-07-09,97548
103RD ST-ROOSEVELT AVE,2010-07-16,102176
103RD ST-ROOSEVELT AVE,2010-07-23,101866
