station_name,date,count
WHITEHALL STREET,2010-06-04,126878
FULTON ST & BROADWAY NASSAU,2010-06-04,37306
CYPRESS HILLS,2010-06-04,6606
75TH STREET & ELDERTS LANE,2010-06-04,16378
85TH STREET & FOREST PKWAY,2010-06-04,18564
WOODHAVEN BOULEVARD,2010-06-04,19987
104TH STREET,2010-06-04,12449
111TH STREET,2010-06-04,11091
121ST STREET,2010-06-04,10482
42ND STREET & 8TH AVENUE,2010-06-04,147187
42ND STREET & 8TH AVENUE,2010-06-04,325122
34TH STREET & 8TH AVENUE,2010-06-04,316732
34TH STREET & 8TH AVENUE,2010-06-04,91846
FULTON STREET,2010-06-04,173912
FIFTH AVENUE,2010-06-04,102951
LEXINGTON AVENUE,2010-06-04,35034
LEXINGTON AVENUE,2010-06-04,148870
ROOSEVELT AVE/JACKSON HTS,2010-06-04,278219
179TH STREET & HILLSIDE AVE,2010-06-04,83707
47-50 STREETS/ROCKEFELLER,2010-06-04,267453
42ND STREET & 6TH AVENUE,2010-06-04,179285
34TH STREET & 6TH AVENUE,2010-06-04,384946
34TH STREET & 6TH AVENUE,2010-06-04,266125
SUTPHIN BOULEVARD,2010-06-04,82808
JAMAICA CENTER-PARSONS BLVD,2010-06-04,126272
WALL STREET,2010-06-04,113510
FULTON & WILLIAM STREETS,2010-06-04,106698
PARK PLACE,2010-06-04,249025
CHAMBERS STREET,2010-06-04,89854
34TH STREET & 7TH AVENUE,2010-06-04,176793
42ND STREET/TIMES SQUARE,2010-06-04,153454
42ND STREET/TIMES SQUARE,2010-06-04,383558
125TH STREET & BROADWAY,2010-06-04,41313
168TH STREET & BROADWAY,2010-06-04,116841
DYCKMAN STREET,2010-06-04,40354
207TH STREET,2010-06-04,29922
215TH STREET,2010-06-04,9452
225TH STREET,2010-06-04,30077
231ST STREET,2010-06-04,41948
BOWLING GREEN & BATTERY PL,2010-06-04,96395
BOWLING GREEN & BROADWAY,2010-06-04,34526
WALL STREET,2010-06-04,108998
BROOKLYN BRIDGE,2010-06-04,179909
42ND STREET & GRAND CENTRAL,2010-06-04,107235
